DESIGN SR92
16 16 8 8 2
1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16
10 3 12 5 14 7 16 1
2 11 4 13 6 15 8 9
11 12 5 6 15 16 1 2
3 4 13 14 7 8 9 10
4 5 14 15 8 1 10 11
12 13 6 7 16 9 2 3
13 14 15 16 1 2 3 4
5 6 7 8 9 10 11 12
6 15 8 1 10 3 12 13
14 7 16 9 2 11 4 5
7 8 1 2 11 12 13 14
15 16 9 10 3 4 5 6
16 1 10 11 4 13 6 7
8 9 2 3 12 5 14 15
