DESIGN S28
12 10 6 6 2
1 7 2 8 3 9
2 8 3 9 4 10
3 9 4 10 5 11
4 10 5 11 1 7
5 11 1 7 2 8
5 11 2 8 6 12
1 7 3 9 6 12
2 8 4 10 6 12
3 9 5 11 6 12
4 10 1 7 6 12
