DESIGN SR68
12 12 6 3 4
1 4 2 5 3 6
4 8 12 9 11 1
2 5 9 10 7 12
11 3 6 7 10 8
7 2 8 3 1 9
5 12 11 1 6 7
10 6 4 8 12 2
9 10 5 11 4 3
3 1 10 12 2 11
8 9 1 6 5 10
6 11 7 2 9 4
12 7 3 4 8 5
