DESIGN R38
12 48 2 3 4
1 2
3 8
4 12
5 6
7 12
10 9
1 8
2 9
3 10
4 6
5 7
11 12
1 3
2 4
5 9
6 8
7 11
10 11
1 9
2 12
3 11
4 8
5 10
6 7
1 5
2 7
3 4
6 11
8 9
10 12
1 11
2 3
4 9
5 12
6 10
7 8
1 6
2 10
3 7
4 5
8 12
9 11
1 12
2 6
3 5
4 11
7 9
8 10
