DESIGN SR75
30 25 6 6 5
5 8 9 22 24 25
6 9 10 23 1 26
7 10 11 24 2 27
8 11 12 1 3 28
9 12 13 2 4 29
10 13 14 3 5 30
11 14 15 4 6 25
12 15 16 5 7 26
13 16 17 6 8 27
14 17 18 7 9 28
15 18 19 8 10 29
16 19 20 9 11 30
17 20 21 10 12 25
18 21 22 11 13 26
19 22 23 12 14 27
20 23 24 13 15 28
21 24 1 14 16 29
22 1 2 15 17 30
23 2 3 16 18 25
24 3 4 17 19 26
1 4 5 18 20 27
2 5 6 19 21 28
3 6 7 20 22 29
4 7 8 21 23 30
25 26 27 28 29 30
