DESIGN SR11
10 25 2 2 5
1 2
3 10
5 8
7 6
9 4
1 8
3 6
5 4
7 2
9 10
1 4
3 2
5 10
7 8
9 6
1 10
3 8
5 6
7 4
9 2
1 6
3 4
5 2
7 10
9 8 
