DESIGN R176
12 12 7 4 3
3 5 8 9 10 11 12
4 6 9 10 11 12 1
5 7 10 11 12 1 2
6 8 11 12 1 2 3
7 9 12 1 2 3 4
8 10 1 2 3 4 5
9 11 2 3 4 5 6
10 12 3 4 5 6 7
11 1 4 5 6 7 8
12 2 5 6 7 8 9
1 3 6 7 8 9 10
2 4 7 8 9 10 11
