DESIGN S26
10 10 6 5 2
1 6 2 7 3 8
2 7 3 8 4 9
3 8 4 9 5 10
4 9 5 10 1 6
5 10 1 6 2 7
6 1 7 2 9 4
7 2 8 3 10 5
8 3 9 4 6 1
9 4 10 5 7 2
10 5 6 1 8 3
