DESIGN R47
6 16 3 2 3
1 3 5
1 3 5
2 4 6
2 4 6
1 3 5
1 4 6
2 3 4
2 5 6
1 3 5
1 2 4
2 3 6
4 5 6
1 3 5
1 2 6
2 4 5
3 4 6
