DESIGN R24
6 24 2 2 3
1 2
3 6
5 4
1 5
2 6
3 4
1 4
3 2
5 6
1 2
3 5
4 6
1 6
3 4
2 5
1 4
2 5
3 6
1 3
2 4
5 6
1 6
2 3
4 5
