DESIGN R20
6 21 2 2 3
1 3
2 4
5 6
3 5
2 6
1 4
1 3
2 6
4 5
3 5
4 6
1 2
1 5
2 4
3 6
1 6
2 5
3 4
1 5
4 6
2 3
