DESIGN R31
8 36 2 4 2
1 5
2 6
3 7
4 8
1 6
2 3
4 7
5 8
1 2
3 7
4 8
5 6
1 8
2 5
3 7
4 6
1 5
2 6
3 4
7 8
1 4
2 8
3 6
5 7
1 3
2 7
4 5
6 8
1 7
2 6
3 5
4 8
1 5
2 4
3 8
6 7
