DESIGN R41
15 75 2 3 5
1 2
1 3
2 3
4 5
4 6
5 6
7 8
7 9
8 9
10 11
10 12
11 12
13 14
13 15
14 15
3 5
3 7
5 7
6 8
6 10
8 10
9 11
9 13
11 13
1 12
1 14
12 14
2 4
2 15
4 15
1 5
1 9
5 9
4 8
4 12
8 12
7 11
7 15
11 15
3 10
14 10
3 14
2 6
2 13
6 13
1 11
1 6
6 11
2 7
2 12
7 12
3 8
3 13
8 13
5 10
5 15
10 15
4 9
4 14
9 14
1 8
1 15
8 15
3 4
3 11
4 11
6 7
6 14
7 14
2 9
2 10
9 10
5 12
5 13
12 13
