DESIGN R51
6 18 3 3 2
1 2 3
1 2 4
1 3 5
1 4 6
1 5 6
2 3 6
2 4 5
2 5 6
3 4 5
3 4 6
1 2 3
1 5 6
4 2 6
4 3 5
1 2 3
1 5 6
4 2 6
4 3 5
