DESIGN R193
12 12 9 3 4
1 2 5 8 11 3 6 9 12
2 3 6 9 12 4 7 10 1
3 4 7 10 1 5 8 11 2
4 5 8 11 2 6 9 12 3
5 6 9 12 3 7 10 1 4
6 7 10 1 4 8 11 2 5
7 8 11 2 5 9 12 3 6
8 9 12 3 6 10 1 4 7
9 10 1 4 7 11 2 5 8
10 11 2 5 8 12 3 6 9
11 12 3 6 9 1 4 7 10
12 1 4 7 10 2 5 8 11
