 1  2  4  8 16
 2  3  5  9 17
 3  4  6 10 18
 4  5  7 11 19
 5  6  8 12 20
 6  7  9 13 21
 7  8 10 14 22
 8  9 11 15 23
 9 10 12 16 24
10 11 13 17 25
11 12 14 18 26
12 13 15 19 27
13 14 16 20 28
14 15 17 21 29
15 16 18 22 30
16 17 19 23 31
17 18 20 24  1
18 19 21 25  2
19 20 22 26  3
20 21 23 27  4
21 22 24 28  5
22 23 25 29  6
23 24 26 30  7
24 25 27 31  8
25 26 28  1  9
26 27 29  2 10
27 28 30  3 11
28 29 31  4 12
29 30  1  5 13
30 31  2  6 14
31  1  3  7 15
 1  4 10 15 22
 2  5 11 16 23
 3  6 12 17 24
 4  7 13 18 25
 5  8 14 19 26
 6  9 15 20 27
 7 10 16 21 28
 8 11 17 22 29
 9 12 18 23 30
10 13 19 24 31
11 14 20 25  1
12 15 21 26  2
13 16 22 27  3
14 17 23 28  4
15 18 24 29  5
16 19 25 30  6
17 20 26 31  7
18 21 27  1  8
19 22 28  2  9
20 23 29  3 10
21 24 30  4 11
22 25 31  5 12
23 26  1  6 13
24 27  2  7 14
25 28  3  8 15
26 29  4  9 16
27 30  5 10 17
28 31  6 11 18
29  1  7 12 19
30  2  8 13 20
31  3  9 14 21
 1  5  6 14 16
 2  6  7 15 17
 3  7  8 16 18
 4  8  9 17 19
 5  9 10 18 20
 6 10 11 19 21
 7 11 12 20 22
 8 12 13 21 23
 9 13 14 22 24
10 14 15 23 25
11 15 16 24 26
12 16 17 25 27
13 17 18 26 28
14 18 19 27 29
15 19 20 28 30
16 20 21 29 31
17 21 22 30  1
18 22 23 31  2
19 23 24  1  3
20 24 25  2  4
21 25 26  3  5
22 26 27  4  6
23 27 28  5  7
24 28 29  6  8
25 29 30  7  9
26 30 31  8 10
27 31  1  9 11
28  1  2 10 12
29  2  3 11 13
30  3  4 12 14
31  4  5 13 15
