1 2 3 8 12 16
1 2 4 7 11 15
1 3 4 6 10 14
1 5 9 14 15 16
1 5 10 11 12 13
1 6 7 8 9 13
2 3 4 5 9 13
2 5 7 8 10 14
2 6 9 11 12 14
2 6 10 13 15 16
3 5 6 8 11 15
3 7 9 10 12 15
3 7 11 13 14 16
4 5 6 7 12 16
4 8 9 10 11 16
4 8 12 13 14 15
