   1  2  9 12
   2  3 10 13
   3  4 11 14
   4  5 12 15
   5  6 13 16
   6  7 14 17
   7  8 15 18
   8  9 16 19
   9 10 17 20
  10 11 18 21
  11 12 19 22
  12 13 20 23
  13 14 21 24
  14 15 22 25
  15 16 23 26
  16 17 24 27
  17 18 25 28
  18 19 26 29
  19 20 27 30
  20 21 28 31
  21 22 29  1
  22 23 30  2
  23 24 31  3
  24 25  1  4
  25 26  2  5
  26 27  3  6
  27 28  4  7
  28 29  5  8
  29 30  6  9
  30 31  7 10
  31  1  8 11
   1  2 14 18
   2  3 15 19
   3  4 16 20
   4  5 17 21
   5  6 18 22
   6  7 19 23
   7  8 20 24
   8  9 21 25
   9 10 22 26
  10 11 23 27
  11 12 24 28
  12 13 25 29
  13 14 26 30
  14 15 27 31
  15 16 28  1
  16 17 29  2
  17 18 30  3
  18 19 31  4
  19 20  1  5
  20 21  2  6
  21 22  3  7
  22 23  4  8
  23 24  5  9
  24 25  6 10
  25 26  7 11
  26 27  8 12
  27 28  9 13
  28 29 10 14
  29 30 11 15
  30 31 12 16
  31  1 13 17
   1  3 12 15
   2  4 13 16
   3  5 14 17
   4  6 15 18
   5  7 16 19
   6  8 17 20
   7  9 18 21
   8 10 19 22
   9 11 20 23
  10 12 21 24
  11 13 22 25
  12 14 23 26
  13 15 24 27
  14 16 25 28
  15 17 26 29
  16 18 27 30
  17 19 28 31
  18 20 29  1
  19 21 30  2
  20 22 31  3
  21 23  1  4
  22 24  2  5
  23 25  3  6
  24 26  4  7
  25 27  5  8
  26 28  6  9
  27 29  7 10
  28 30  8 11
  29 31  9 12
  30  1 10 13
  31  2 11 14
   1  6  8 14
   2  7  9 15
   3  8 10 16
   4  9 11 17
   5 10 12 18
   6 11 13 19
   7 12 14 20
   8 13 15 21
   9 14 16 22
  10 15 17 23
  11 16 18 24
  12 17 19 25
  13 18 20 26
  14 19 21 27
  15 20 22 28
  16 21 23 29
  17 22 24 30
  18 23 25 31
  19 24 26  1
  20 25 27  2
  21 26 28  3
  22 27 29  4
  23 28 30  5
  24 29 31  6
  25 30  1  7
  26 31  2  8
  27  1  3  9
  28  2  4 10
  29  3  5 11
  30  4  6 12
  31  5  7 13
   1  6 10 16
   2  7 11 17
   3  8 12 18
   4  9 13 19
   5 10 14 20
   6 11 15 21
   7 12 16 22
   8 13 17 23
   9 14 18 24
  10 15 19 25
  11 16 20 26
  12 17 21 27
  13 18 22 28
  14 19 23 29
  15 20 24 30
  16 21 25 31
  17 22 26  1
  18 23 27  2
  19 24 28  3
  20 25 29  4
  21 26 30  5
  22 27 31  6
  23 28  1  7
  24 29  2  8
  25 30  3  9
  26 31  4 10
  27  1  5 11
  28  2  6 12
  29  3  7 13
  30  4  8 14
  31  5  9 15
