DESIGN R169
18 24 6 6 3
1 7 13 2 8 14
1 7 13 3 9 15
2 8 14 3 9 15
4 10 16 5 11 17
4 10 16 6 12 18
5 11 17 6 12 18
1 7 13 4 5 6
1 7 13 10 11 12
1 7 13 16 17 18
2 8 14 4 11 18
2 8 14 6 10 17
2 8 14 5 12 16
3 9 15 4 12 17
3 9 15 5 10 18
3 9 15 6 11 16
4 10 16 1 2 3
4 10 16 7 8 9
4 10 16 13 14 15
5 11 17 1 8 15
5 11 17 3 7 14
5 11 17 2 9 13
6 12 18 1 9 14
6 12 18 2 7 15
6 12 18 3 8 13
