DESIGN SR26
12 16 3   3 4
1 2 3
12 8 7
9 10 5
11 4 6
1  5  6
8 3 4
9 11 7
2 12 10
1 12 11
5 7 3
6 10 8
4 2 9
1 8 9
7 6 2
10 11 3
4 12 5 
