DESIGN SR73
18 27 6 6 3
1 2 3 4 5 6
7 8 9 10 11 12
13 14 15 16 17 18
1 2 3 10 11 12
7 8 9 16 17 18
13 14 15 4 5 6
1 2 3 16 17 18
7 8 9 4 5 6
13 14 15 10 11 12
15 4 11 18 1 8
3 10 17 6 7 14
9 16 5 12 13 2
15 10 17 6 1 8
3 16 5 12 7 14
9 4 11 18 13 2
15 16 5 12 1 8
3 4 11 18 7 14
9 10 17 6 13 2
17 12 1 14 9 4
5 18 7 2 15 10
11 6 13 8 3 16
5 18 1 14 9 10
11 6 7 2 15 16
17 12 13 8 3 4
11 6 1 14 9 16
17 12 7 2 15 4
5 18 13 8 3 10
