DESIGN R36
10 40 2 5 2
1 2
3 9
4 7
5 8
6 10
1 7
2 10
3 4
5 6
8 9
1 3
2 6
4 5
7 9
8 10
1 8
2 3
4 10
5 9
6 7
1 4
2 8
3 6
5 7
9 10
1 9
2 4
3 5
6 8
7 10
1 5
2 9
3 10
4 6
7 8
1 10
2 5
3 7
4 8
6 9
