DESIGN R21
6 21 2 3 2
1 4
2 5
3 6
1 3
2 6
4 5
1 4
2 5
3 6
1 5
2 3
4 6
1 4
2 5
3 6
1 6
2 4
3 5
1 2
3 4
5 6
