DESIGN R29
8 24 2 4 2
1 2
3 5
4 7
6 8
1 6
2 4
3 8
5 7
1 3
2 7
4 6
5 8
1 7
2 8
3 6
4 5
1 4
2 3
5 6
7 8
1 8
2 5
3 4
6 7
