DESIGN SR72
18 18 6 6 3
1 2 3 4 5 6
7 8 9 10 11 12
13 14 15 16 17 18
2 9 16 11 18 1
8 15 4 17 6 7
14 3 10 5 12 13
3 16 17 12 1 8
9 4 5 18 7 14
15 10 11 6 13 2
4 11 12 1 14 15
10 17 18 7 2 3
16 5 6 13 8 9
5 18 1 8 15 10
11 6 7 14 3 16
17 12 13 2 9 4
6 1 14 9 10 17
12 7 2 16 15 5
18 13 8 3 4 11
