DESIGN SR44
16 16 4 4 4
1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 16
1 6 11 16
2 5 12 15
3 8 9 14
4 7 10 13
1 7 12 14
2 8 11 13
3 5 10 16
4 6 9 15
1 8 10 15
2 7 9 16
3 6 12 13
4 5 11 14
