DESIGN SR42
12 18 4 4 3
1 2 3 4
5 6 7 8
9 10 11 12
7 8 1 10
11 12 5 2
3 4 9 6
1 6 3 12
5 10 7 4
9 2 11 8
1 2 7 12
5 6 11 4
9 10 3 8
11 4 1 10
3 8 5 2
7 12 9 6
11 8 1 6
3 12 5 10
7 4 9 2
