DESIGN R170
27 27 6 9 3
1 10 19 6 5 4
14 1 10 13 19 15
19 22 1 23 10 24
2 11 20 24 4 14
15 2 11 20 22 5
20 23 2 11 6 13
3 15 23 4 12 21
5 13 24 21 3 12
6 12 22 14 21 3
22 4 13 7 8 9
13 16 4 22 17 18
4 26 27 25 13 22
23 5 14 27 7 17
8 25 5 18 14 23
16 14 9 5 23 26
18 6 26 15 24 7
24 27 6 16 15 8
9 24 15 17 25 6
7 3 16 1 2 25
12 7 25 10 11 16
25 21 7 19 16 20
21 8 17 26 1 11
17 19 8 12 26 2
26 17 3 8 20 10
27 20 12 9 18 1
10 18 21 2 9 27
11 9 18 3 27 19
