DESIGN SR93
16 20 8 8 2
1 2 3 4 5 6 7 8
9 10 3 4 13 14 15 16
14 10 11 4 5 1 15 16
9 15 11 12 5 6 2 16
9 10 3 12 13 6 7 16
1 10 11 13 4 14 7 8
1 2 11 12 5 14 15 8
1 2 16 12 13 6 15 3
1 2 3 4 13 14 7 16
9 2 3 4 5 14 15 8
5 10 15 16 1 6 3 4
5 6 11 16 9 2 7 4
5 6 7 8 1 10 3 12
9 6 7 8 13 2 11 4
5 14 7 12 9 10 3 8
13 6 15 8 9 10 11 4
5 14 7 16 9 10 11 12
13 6 15 8 1 10 11 12
13 14 7 16 1 2 11 12
13 14 15 8 9 2 3 12
