DESIGN R101
8 18 4 4 2
1 2 3 4
1 6 7 8
1 3 6 8
2 3 4 5
2 5 7 8
4 5 6 7
1 2 4 7
1 2 3 8
1 4 6 7
2 5 7 8
3 4 5 6
3 5 6 8
1 5 2 6
3 7 4 8
1 5 3 7
2 6 4 8
1 5 4 8
2 6 3 7
