DESIGN R32
8 40 2 2 4
1 2
3 8
5 6
7 4
1 3
5 7
2 4
6 8
1 7
3 5
2 8
4 6
1 4
3 2
5 8
7 6
1 3
5 7
2 4
6 8
1 7
3 5
2 8
4 6
1 6
3 4
5 2
7 8
1 5
3 7
2 6
4 8
1 8
3 6
5 4
7 2
1 5
3 7
2 6
4 8
