DESIGNR 37
10 50 2 5 2
1 6
2 7
3 8
4 9
5 10
1 4
2 5
3 6
7 10
8 9
1 9
2 3
4 10
5 7
6 8
1 6
2 7
3 8
4 9
5 10
1 5
2 8
3 10
4 6
7 9
1 10
2 4
3 5
 6 9
7 8
1 2
3 7
4 8
5 9
6 10
1 7
2 9
3 4
5 6
8 10
1 3
2 6
4 7
5 8
9 10
1 8
2 10
3 9
4 5
6 7
