DESIGN R164
8 12 6 2 4
1 3 5 7 2 4
1 3 5 7 6 8
2 4 6 8 1 3
2 4 6 8 5 7
1 3 5 7 2 6
1 3 5 7 4 8
2 4 6 8 1 5
2 4 6 8 3 7
1 3 5 7 2 8
1 3 5 7 4 6
2 4 6 8 1 7
2 4 6 8 3 5
