DESIGN R186
12 12 8 6 2
3 4 6 8 9 10 11 12
4 5 7 9 10 11 12 1
5 6 8 10 11 12 1 2
6 7 9 11 12 1 2 3
7 8 10 12 1 2 3 4
8 9 11 1 2 3 4 5
9 10 12 2 3 4 5 6
10 11 1 3 4 5 6 7
11 12 2 4 5 6 7 8
12 1 3 5 6 7 8 9
1 2 4 6 7 8 9 10
2 3 5 7 8 9 10 11
