DESIGN S35
15 10 6 5 3
1 6 11 2 7 12
2 7 12 3 8 13
3 8 13 4 9 14
4 9 14 5 10 15
5 10 15 1 6 11
1 6 11 3 8 13
2 7 12 4 9 14
3 8 13 5 10 15
4 9 14 1 6 11
5 10 15 2 7 12
