DESIGN R172
9 9 7 3 3
1 2 5 8 3 6 9
2 3 6 9 4 7 1
3 4 7 1 5 8 2
4 5 8 2 6 9 3
5 6 9 3 7 1 4
6 7 1 4 8 2 5
7 8 2 5 9 3 6
8 9 3 6 1 4 7
9 1 4 7 2 5 8
