  1  6  2  4  3  3  2  2  1
  2  6  4  4  6  3  2  4  2
  3  6  6  4  9  3  2  6  3
  4  6  8  4 12  3  2  8  4
  5  6 10  4 15  3  2 10  5
  6  8  3  4  6  4  2  3  1
  7  8  6  4 12  4  2  6  2
  8  8  9  4 18  4  2  9  3
  9 10  4  4 10  5  2  4  1
 10 10  8  4 20  5  2  8  2
 11 12  5  4 15  6  2  5  1
 12 12 10  4 30  6  2 10  2
 13 14  6  4 21  7  2  6  1
 14 16  7  4 28  8  2  7  1
 15 18  8  4 36  9  2  8  1
 16 20  9  4 45 10  2  9  1
 17 22 10  4 55 11  2 10  1
 18  8  3  6  4  4  2  3  2
 19  8  6  6  8  4  2  6  4
 20  8  9  6 12  4  2  9  6
 21  9  2  6  3  3  3  2  1
 22  9  4  6  6  3  3  4  2
 23  9  6  6  9  3  3  6  3
 24  9  8  6 12  3  3  8  4
 25  9 10  6 15  3  3 10  5
 26 10  6  6 10  5  2  6  3
 27 12  3  6  6  4  3  3  1
 28 12  5  6 10  6  2  5  2
 29 12  6  6 12  4  3  6  2
 30 12  9  6 18  4  3  9  3
 31 12 10  6 20  6  2 10  4
 32 14  3  6  7  7  2  3  1
 33 14  6  6 14  7  2  6  2
 34 14  9  6 21  7  2  9  3
 35 15  4  6 10  5  3  4  1
 36 15  8  6 20  5  3  8  2
 37 18  4  6 12  9  2  4  1
 38 18  5  6 15  6  3  5  1
 39 18  8  6 24  9  2  8  2
 40 18 10  6 30  6  3 10  2
 41 20  9  6 30 10  2  9  2
 42 21  6  6 21  7  3  6  1
 43 24  7  6 28  8  3  7  1
 44 26  6  6 26 13  2  6  1
 45 27  8  6 36  9  3  8  1
 46 30  7  6 35 15  2  7  1
 47 30  9  6 45 10  3  9  1
 48 33 10  6 55 11  3 10  1
 49 38  9  6 57 19  2  9  1
 50 42 10  6 70 21  2 10  1
 51 10  4  8  5  5  2  4  3
 52 10  8  8 10  5  2  8  6
 53 12  2  8  3  3  4  2  1
 54 12  4  8  6  3  4  4  2
 55 12  6  8  9  3  4  6  3
 56 12  8  8 12  3  4  8  4
 57 12 10  8 15  3  4 10  5
 58 12 10  8 15  6  2 10  6
 59 14  4  8  7  7  2  4  2
 60 14  8  8 14  7  2  8  4
 61 16  3  8  6  4  4  3  1
 62 16  6  8 12  4  4  6  2
 63 16  7  8 14  8  2  7  3
 64 16  9  8 18  4  4  9  3
 65 18  8  8 18  9  2  8  3
 66 20  4  8 10  5  4  4  1
 67 20  6  8 15 10  2  6  2
 68 20  8  8 20  5  4  8  2
 69 24  5  8 15  6  4  5  1
 70 24 10  8 30  6  4 10  2
 71 26  4  8 13 13  2  4  1
 72 26  8  8 26 13  2  8  2
 73 28  6  8 21  7  4  6  1
 74 32  5  8 20  16 2  5  1
 75 32  7  8 28  8  4  7  1
 76 32 10  8 40 16  2 10  2
 77 36  8  8 36  9  4  8  1
 78 40  9  8 45 10  4  9  1
 79 44 10  8 55 11  4 10  1
 80 50  8  8 50 25  2  8  1
 81 56  9  8 63 28  2  9  1
 82 12  3  9  4  4  3  3  2
 83 12  6  9  8  4  3  6  4
 84 12  9  9 12  4  3  9  6
 85 15  6  9 10  5  3  6  3
 86 18  5  9 10  6  3  5  2
 87 18 10  9 20  6  3 10  4
 88 21  3  9  7  7  3  3  1
 89 21  6  9 14  7  3  6  2
 90 21  9  9 21  7  3  9  3
 91 27  4  9 12  9  3  4  1
 92 27  8  9 24  9  3  8  2
 93 30  9  9 30 10  3  9  2
 94 39  6  9 26 13  3  6  1
 95 45  7  9 35 15  3  7  1
 96 57  9  9 57 19  3  9  1
 97 63 10  9 70 21 23 10  1
 98 12  5 10  6  6  2  5  4
 99 12 10 10 12  6  2 10  8
100 15  2 10  3  3  5  2  1
101 15  4 10  6  3  5  4  2
102 15  6 10  9  3  5  6  3
103 15  8 10 12  3  5  8  4
104 15 10 10 15  3  5 10  5
105 18 10 10 18  9  2 10  5
106 20  3 10  6  4  5  3  1
107 20  6 10 12  4  5  6  2
108 20  9 10 18  4  5  9  3
109 20  9 10 18 10  2  9  4
110 22  5 10 11 11  2  5  2
111 22 10 10 22 11  2 10  4
112 25  4 10 10  5  5  4  1
113 25  8 10 20  5  5  8  2
114 30  5 10 15  6  5  5  1
115 30 10 10 30  6  5 10  2
116 35  6 10 21  7  5  6  1
117 40  7 10 28  8  5  7  1
118 42  5 10 21 21  2  5  1
119 42 10 10 42 21  2 10  2
120 45  8 10 36  9  5  8  1
121 50  6 10 30 25  2  6  1
122 50  9 10 45 10  5  9  1
123 55 10 10 55 11  5 10  1
124 82 10 10 82 41  2 10  1
